Year,Shelf,COVER_live,COVER_soft,COVER_dead
1990,I,27.15011765,,6.597117647
1991,I,22.20081818,,5.311545455
1992,I,15.55411111,,1.881333333
1993,I,25.47014286,,2.320071429
1994,I,27.373,,1.480125
1995,I,16.55671429,,0.587071429
1996,I,23.79747368,,1.768
1997,I,23.46263636,,1.289
1998,I,23.45394118,9.161647059,3.128176471
1999,I,18.39207143,9.878642857,1.874142857
2000,I,22.1385,11.5385,1.94375
2001,I,15.94283333,8.068,1.181944444
2002,I,16.93306667,5.522333333,1.502466667
2003,I,23.65675,8.704416667,1.959166667
2004,I,15.59788889,11.21344444,1.915111111
2005,I,22.534,5.158076923,1.299769231
2006,I,22.4928,6.643,1.8021
2007,I,18.5263,8.2818,1.2496
2008,I,20.5318,9.5194,1.5422
2009,I,22.641,5.162166667,1.669
2010,I,28.80933333,7.947,1.7935
2011,I,27.6465,4.015166667,1.721333333
2012,I,15.772,14.1545,1.655
2013,I,24.13247059,7.248058824,1.924529412
2014,I,15.41873529,9.860029412,1.217764706
2015,I,6.705,12.472,0.511
2016,I,12.76430769,12.42988462,4.171730769
2017,I,18.82361538,12.38776923,7.832461538
2018,I,15.82650769,8.164084615,4.265030769
2019,I,12.8294,3.9404,0.6976
2020,I,13.314,3.231333333,0.641333333
1990,M,21.60421154,,8.008605769
1991,M,21.84938462,,3.345833333
1992,M,29.96212903,,3.594516129
1993,M,26.54206522,,2.198804348
1994,M,24.8440625,,1.3721875
1995,M,27.27290909,,1.440872727
1996,M,27.69567273,,1.673163636
1997,M,22.10671053,,1.582236842
1998,M,25.05483333,5.892685185,2.058851852
1999,M,22.311,5.792553191,2.05687234
2000,M,19.98264706,5.656647059,2.289294118
2001,M,20.8961087,5.06923913,2.273065217
2002,M,20.63643548,4.076354839,2.407145161
2003,M,15.94118182,4.212327273,2.434690909
2004,M,20.52469811,5.145603774,2.242962264
2005,M,22.7088,4.544672727,1.7572
2006,M,18.0177541,5.490508197,1.58652459
2007,M,17.51826667,5.291933333,1.59715
2008,M,20.16995122,5.413439024,1.521829268
2009,M,21.72687179,4.456820513,2.049
2010,M,17.6985,4.378233333,1.65465
2011,M,15.391,3.89176,1.54232
2012,M,12.68433333,4.745848485,1.354454545
2013,M,20.83711538,4.736673077,2.164653846
2014,M,19.39917397,4.741406306,1.998047853
2015,M,17.96123256,4.746139535,1.83144186
2016,M,22.4720553,4.937606353,4.20624532
2017,M,26.98287805,5.129073171,6.58104878
2018,M,22.54965961,4.556036585,4.014803802
2019,M,18.11644118,3.983,1.448558824
2020,M,20.29738182,4.476345455,1.234672727
1990,O,22.34366667,,5.610041667
1991,O,21.86551515,,3.259787879
1992,O,30.69886207,,2.477551724
1993,O,25.025,,1.818045455
1994,O,25.49280645,,0.796548387
1995,O,25.52461765,,0.740205882
1996,O,26.11741667,,1.014555556
1997,O,25.15316,,0.96656
1998,O,27.81021622,8.803054054,1.195324324
1999,O,29.56316129,9.349645161,1.822483871
2000,O,29.85777143,8.240971429,2.792657143
2001,O,31.14781481,7.331037037,2.275777778
2002,O,27.19218421,7.785394737,2.356736842
2003,O,28.20880645,7.667129032,2.215290323
2004,O,26.08581481,8.184555556,2.475037037
2005,O,28.053,7.886451613,1.765419355
2006,O,26.65018182,6.947363636,1.961181818
2007,O,22.05978571,7.917357143,1.689321429
2008,O,22.39995455,5.452772727,1.511863636
2009,O,17.20375,7.640375,1.466958333
2010,O,18.21471429,5.354380952,1.332380952
2011,O,12.33861111,4.113833333,1.100222222
2012,O,13.5960625,4.3741875,0.818125
2013,O,13.85357143,5.040619048,0.93747619
2014,O,17.21596905,5.235142857,1.042771429
2015,O,20.57836667,5.429666667,1.148066667
2016,O,21.49470057,5.04954023,2.948981609
2017,O,22.41103448,4.669413793,4.749896552
2018,O,23.19135724,4.252426897,3.100188276
2019,O,23.97168,3.83544,1.45048
2020,O,29.74367857,4.082285714,1.277142857
